Device: cuda
Epochs: 1  train_loss: 43.03  val_loss: 36.05  ShiftErr: 86.46000000000001 %  swAErr: 97.45 %  swBErr: 99.8 %
Epochs: 46  train_loss: 13.78  val_loss: 7.88  ShiftErr: 34.31 %  swAErr: 64.25999999999999 %  swBErr: 56.989999999999995 %

Epochs: 47  train_loss: 11.53  val_loss: 7.85  ShiftErr: 34.29 %  swAErr: 64.64999999999999 %  swBErr: 57.89 %

Epochs: 48  train_loss: 11.48  val_loss: 7.82  ShiftErr: 34.23 %  swAErr: 65.03 %  swBErr: 58.68 %

Epochs: 49  train_loss: 10.46  val_loss: 7.81  ShiftErr: 34.19 %  swAErr: 65.25 %  swBErr: 59.330000000000005 %

Epochs: 50  train_loss: 12.08  val_loss: 7.79  ShiftErr: 34.13 %  swAErr: 65.39 %  swBErr: 59.84 %

Epochs: 51  train_loss: 11.02  val_loss: 7.77  ShiftErr: 34.02 %  swAErr: 65.56 %  swBErr: 60.31999999999999 %

Epochs: 52  train_loss: 13.08  val_loss: 7.74  ShiftErr: 33.92 %  swAErr: 65.68 %  swBErr: 60.78 %

Epochs: 53  train_loss: 13.27  val_loss: 7.71  ShiftErr: 33.800000000000004 %  swAErr: 65.81 %  swBErr: 61.160000000000004 %

Epochs: 54  train_loss: 11.35  val_loss: 7.68  ShiftErr: 33.68 %  swAErr: 65.86999999999999 %  swBErr: 61.480000000000004 %

Epochs: 55  train_loss: 11.3  val_loss: 7.66  ShiftErr: 33.58 %  swAErr: 65.84 %  swBErr: 61.77 %

Epochs: 56  train_loss: 12.87  val_loss: 7.63  ShiftErr: 33.46 %  swAErr: 65.73 %  swBErr: 61.970000000000006 %

Epochs: 57  train_loss: 13.94  val_loss: 7.61  ShiftErr: 33.37 %  swAErr: 65.75999999999999 %  swBErr: 62.160000000000004 %

Epochs: 58  train_loss: 11.36  val_loss: 7.59  ShiftErr: 33.29 %  swAErr: 65.93 %  swBErr: 62.57 %

Epochs: 59  train_loss: 9.58  val_loss: 7.57  ShiftErr: 33.160000000000004 %  swAErr: 66.09 %  swBErr: 62.94 %

Epochs: 60  train_loss: 10.5  val_loss: 7.54  ShiftErr: 33.019999999999996 %  swAErr: 66.10000000000001 %  swBErr: 63.22 %

Epochs: 61  train_loss: 10.07  val_loss: 7.51  ShiftErr: 32.89 %  swAErr: 66.25999999999999 %  swBErr: 63.470000000000006 %

Epochs: 62  train_loss: 10.28  val_loss: 7.48  ShiftErr: 32.74 %  swAErr: 66.28 %  swBErr: 63.71 %

Epochs: 63  train_loss: 13.7  val_loss: 7.45  ShiftErr: 32.61 %  swAErr: 66.36 %  swBErr: 63.959999999999994 %

Epochs: 64  train_loss: 10.46  val_loss: 7.41  ShiftErr: 32.5 %  swAErr: 66.56 %  swBErr: 64.11 %

Epochs: 65  train_loss: 11.42  val_loss: 7.38  ShiftErr: 32.34 %  swAErr: 66.63 %  swBErr: 64.17 %

Epochs: 66  train_loss: 10.38  val_loss: 7.35  ShiftErr: 32.17 %  swAErr: 66.69 %  swBErr: 64.18 %

Epochs: 67  train_loss: 8.99  val_loss: 7.31  ShiftErr: 32.019999999999996 %  swAErr: 66.79 %  swBErr: 64.18 %

Epochs: 68  train_loss: 10.21  val_loss: 7.28  ShiftErr: 31.869999999999997 %  swAErr: 66.66 %  swBErr: 64.14 %

Epochs: 69  train_loss: 11.65  val_loss: 7.24  ShiftErr: 31.7 %  swAErr: 66.63 %  swBErr: 64.17 %

Epochs: 70  train_loss: 10.04  val_loss: 7.2  ShiftErr: 31.509999999999998 %  swAErr: 66.58 %  swBErr: 64.14 %

Epochs: 71  train_loss: 8.82  val_loss: 7.16  ShiftErr: 31.290000000000003 %  swAErr: 66.66 %  swBErr: 64.23 %

Epochs: 72  train_loss: 10.97  val_loss: 7.12  ShiftErr: 31.09 %  swAErr: 66.58 %  swBErr: 64.27000000000001 %

Epochs: 73  train_loss: 10.03  val_loss: 7.08  ShiftErr: 30.91 %  swAErr: 66.44 %  swBErr: 64.36 %

Epochs: 74  train_loss: 9.41  val_loss: 7.04  ShiftErr: 30.709999999999997 %  swAErr: 66.39 %  swBErr: 64.53 %

Epochs: 75  train_loss: 10.18  val_loss: 7.0  ShiftErr: 30.509999999999998 %  swAErr: 66.22 %  swBErr: 64.49000000000001 %

Epochs: 76  train_loss: 11.37  val_loss: 6.96  ShiftErr: 30.320000000000004 %  swAErr: 66.03999999999999 %  swBErr: 64.39 %

Epochs: 77  train_loss: 10.87  val_loss: 6.92  ShiftErr: 30.130000000000003 %  swAErr: 65.95 %  swBErr: 64.35 %

Epochs: 78  train_loss: 9.61  val_loss: 6.89  ShiftErr: 29.970000000000002 %  swAErr: 65.9 %  swBErr: 64.36 %

Epochs: 79  train_loss: 11.02  val_loss: 6.84  ShiftErr: 29.770000000000003 %  swAErr: 65.81 %  swBErr: 64.36 %

Epochs: 80  train_loss: 9.76  val_loss: 6.8  ShiftErr: 29.549999999999997 %  swAErr: 65.75999999999999 %  swBErr: 64.36 %

Epochs: 81  train_loss: 10.11  val_loss: 6.76  ShiftErr: 29.38 %  swAErr: 65.52 %  swBErr: 64.37 %

Epochs: 82  train_loss: 10.74  val_loss: 6.73  ShiftErr: 29.21 %  swAErr: 65.36 %  swBErr: 64.34 %

Epochs: 83  train_loss: 8.52  val_loss: 6.69  ShiftErr: 29.049999999999997 %  swAErr: 65.16 %  swBErr: 64.35 %

Epochs: 84  train_loss: 8.05  val_loss: 6.66  ShiftErr: 28.9 %  swAErr: 64.88000000000001 %  swBErr: 64.33 %

Epochs: 85  train_loss: 9.89  val_loss: 6.62  ShiftErr: 28.73 %  swAErr: 64.69 %  swBErr: 64.29 %

Epochs: 86  train_loss: 9.82  val_loss: 6.58  ShiftErr: 28.58 %  swAErr: 64.47 %  swBErr: 64.25 %

Epochs: 87  train_loss: 10.35  val_loss: 6.54  ShiftErr: 28.43 %  swAErr: 64.28 %  swBErr: 64.24 %

Epochs: 88  train_loss: 8.2  val_loss: 6.5  ShiftErr: 28.28 %  swAErr: 64.28 %  swBErr: 64.2 %

Epochs: 89  train_loss: 9.73  val_loss: 6.45  ShiftErr: 28.12 %  swAErr: 64.12 %  swBErr: 64.05999999999999 %

Epochs: 90  train_loss: 11.23  val_loss: 6.41  ShiftErr: 27.96 %  swAErr: 64.01 %  swBErr: 63.959999999999994 %

Epochs: 91  train_loss: 8.75  val_loss: 6.37  ShiftErr: 27.82 %  swAErr: 64.01 %  swBErr: 63.94 %

Epochs: 92  train_loss: 8.83  val_loss: 6.32  ShiftErr: 27.68 %  swAErr: 64.0 %  swBErr: 63.870000000000005 %

Epochs: 93  train_loss: 9.84  val_loss: 6.28  ShiftErr: 27.51 %  swAErr: 63.839999999999996 %  swBErr: 63.739999999999995 %

Epochs: 94  train_loss: 9.16  val_loss: 6.24  ShiftErr: 27.35 %  swAErr: 63.660000000000004 %  swBErr: 63.61 %

Epochs: 95  train_loss: 9.75  val_loss: 6.19  ShiftErr: 27.189999999999998 %  swAErr: 63.44 %  swBErr: 63.43 %

Epochs: 96  train_loss: 8.95  val_loss: 6.15  ShiftErr: 27.05 %  swAErr: 63.39 %  swBErr: 63.339999999999996 %

Epochs: 97  train_loss: 9.2  val_loss: 6.11  ShiftErr: 26.88 %  swAErr: 63.27 %  swBErr: 63.190000000000005 %

Epochs: 98  train_loss: 9.16  val_loss: 6.07  ShiftErr: 26.75 %  swAErr: 63.24999999999999 %  swBErr: 63.09 %

Epochs: 99  train_loss: 9.81  val_loss: 6.04  ShiftErr: 26.68 %  swAErr: 63.38 %  swBErr: 63.13999999999999 %

Epochs: 100  train_loss: 8.97  val_loss: 6.0  ShiftErr: 26.529999999999998 %  swAErr: 63.239999999999995 %  swBErr: 63.019999999999996 %

Finish
