Device: cuda
Epochs: 1  train_loss: 43.14  val_loss: 34.81  ShiftErr: 82.35 %  swAErr: 99.00999999999999 %  swBErr: 85.16 %
Epochs: 46  train_loss: 6.98  val_loss: 6.51  ShiftErr: 24.099999999999998 %  swAErr: 48.39 %  swBErr: 67.17999999999999 %

Epochs: 47  train_loss: 6.64  val_loss: 6.6  ShiftErr: 24.72 %  swAErr: 48.24 %  swBErr: 66.84 %

Epochs: 48  train_loss: 5.91  val_loss: 6.56  ShiftErr: 25.35 %  swAErr: 48.93 %  swBErr: 66.10000000000001 %

Epochs: 49  train_loss: 8.34  val_loss: 6.5  ShiftErr: 25.590000000000003 %  swAErr: 49.120000000000005 %  swBErr: 66.63 %

Epochs: 50  train_loss: 7.07  val_loss: 6.29  ShiftErr: 24.94 %  swAErr: 47.97 %  swBErr: 65.58 %

Epochs: 51  train_loss: 6.48  val_loss: 6.37  ShiftErr: 25.3 %  swAErr: 49.1 %  swBErr: 67.23 %

Epochs: 52  train_loss: 7.14  val_loss: 6.51  ShiftErr: 28.050000000000004 %  swAErr: 52.690000000000005 %  swBErr: 64.09 %

Epochs: 53  train_loss: 6.14  val_loss: 6.35  ShiftErr: 26.369999999999997 %  swAErr: 52.410000000000004 %  swBErr: 63.36000000000001 %

Epochs: 54  train_loss: 5.48  val_loss: 6.4  ShiftErr: 25.590000000000003 %  swAErr: 49.69 %  swBErr: 66.94 %

Epochs: 55  train_loss: 5.97  val_loss: 6.34  ShiftErr: 26.22 %  swAErr: 50.62 %  swBErr: 64.83 %

Epochs: 56  train_loss: 5.92  val_loss: 6.54  ShiftErr: 29.15 %  swAErr: 52.43 %  swBErr: 64.29 %

Epochs: 57  train_loss: 5.43  val_loss: 6.61  ShiftErr: 30.03 %  swAErr: 51.5 %  swBErr: 64.38000000000001 %

Epochs: 58  train_loss: 5.62  val_loss: 6.52  ShiftErr: 28.59 %  swAErr: 50.05 %  swBErr: 63.56 %

Epochs: 59  train_loss: 6.46  val_loss: 6.36  ShiftErr: 27.189999999999998 %  swAErr: 49.14 %  swBErr: 60.31999999999999 %

Epochs: 60  train_loss: 6.95  val_loss: 6.25  ShiftErr: 27.089999999999996 %  swAErr: 49.28 %  swBErr: 61.650000000000006 %

Epochs: 61  train_loss: 5.08  val_loss: 6.21  ShiftErr: 27.13 %  swAErr: 50.3 %  swBErr: 59.85 %

Epochs: 62  train_loss: 4.92  val_loss: 6.28  ShiftErr: 27.51 %  swAErr: 50.36000000000001 %  swBErr: 58.93000000000001 %

Epochs: 63  train_loss: 5.91  val_loss: 6.12  ShiftErr: 27.91 %  swAErr: 51.07000000000001 %  swBErr: 58.60999999999999 %

Epochs: 64  train_loss: 6.06  val_loss: 6.25  ShiftErr: 29.099999999999998 %  swAErr: 52.690000000000005 %  swBErr: 57.93000000000001 %

Epochs: 65  train_loss: 4.69  val_loss: 6.42  ShiftErr: 30.080000000000002 %  swAErr: 53.68000000000001 %  swBErr: 57.31 %

Epochs: 66  train_loss: 5.56  val_loss: 6.55  ShiftErr: 30.97 %  swAErr: 55.44 %  swBErr: 57.13 %

Epochs: 67  train_loss: 4.91  val_loss: 6.42  ShiftErr: 29.880000000000003 %  swAErr: 54.379999999999995 %  swBErr: 56.08 %

Epochs: 68  train_loss: 5.8  val_loss: 6.43  ShiftErr: 30.11 %  swAErr: 54.900000000000006 %  swBErr: 55.85 %

Epochs: 69  train_loss: 4.36  val_loss: 6.47  ShiftErr: 30.56 %  swAErr: 54.81 %  swBErr: 56.010000000000005 %

Epochs: 70  train_loss: 5.65  val_loss: 6.46  ShiftErr: 29.67 %  swAErr: 53.800000000000004 %  swBErr: 57.220000000000006 %

Epochs: 71  train_loss: 4.42  val_loss: 6.3  ShiftErr: 28.29 %  swAErr: 53.580000000000005 %  swBErr: 58.85 %

Epochs: 72  train_loss: 5.42  val_loss: 6.32  ShiftErr: 28.64 %  swAErr: 54.1 %  swBErr: 56.879999999999995 %

Epochs: 73  train_loss: 6.16  val_loss: 6.54  ShiftErr: 30.209999999999997 %  swAErr: 54.410000000000004 %  swBErr: 56.720000000000006 %

Epochs: 74  train_loss: 5.44  val_loss: 6.49  ShiftErr: 29.720000000000002 %  swAErr: 54.65 %  swBErr: 56.56 %

Epochs: 75  train_loss: 5.39  val_loss: 6.53  ShiftErr: 30.48 %  swAErr: 54.400000000000006 %  swBErr: 57.64 %

Epochs: 76  train_loss: 5.63  val_loss: 6.36  ShiftErr: 29.17 %  swAErr: 54.02 %  swBErr: 56.989999999999995 %

Epochs: 77  train_loss: 5.55  val_loss: 6.4  ShiftErr: 28.599999999999998 %  swAErr: 55.010000000000005 %  swBErr: 57.37 %

Epochs: 78  train_loss: 5.31  val_loss: 6.77  ShiftErr: 30.380000000000003 %  swAErr: 55.71 %  swBErr: 57.50999999999999 %

Epochs: 79  train_loss: 4.92  val_loss: 6.53  ShiftErr: 30.15 %  swAErr: 54.86 %  swBErr: 57.29 %

Epochs: 80  train_loss: 6.09  val_loss: 6.38  ShiftErr: 29.14 %  swAErr: 54.92 %  swBErr: 57.03 %

Epochs: 81  train_loss: 5.06  val_loss: 6.51  ShiftErr: 30.23 %  swAErr: 54.65 %  swBErr: 56.08 %

Epochs: 82  train_loss: 5.34  val_loss: 6.59  ShiftErr: 30.490000000000002 %  swAErr: 55.379999999999995 %  swBErr: 57.21000000000001 %

Epochs: 83  train_loss: 4.71  val_loss: 6.58  ShiftErr: 30.42 %  swAErr: 54.76 %  swBErr: 56.63 %

Epochs: 84  train_loss: 5.1  val_loss: 6.73  ShiftErr: 31.419999999999998 %  swAErr: 55.400000000000006 %  swBErr: 57.699999999999996 %

Epochs: 85  train_loss: 5.41  val_loss: 6.52  ShiftErr: 29.74 %  swAErr: 54.76 %  swBErr: 56.53 %

Epochs: 86  train_loss: 4.99  val_loss: 6.6  ShiftErr: 30.14 %  swAErr: 54.72 %  swBErr: 56.279999999999994 %

Epochs: 87  train_loss: 5.32  val_loss: 6.62  ShiftErr: 29.99 %  swAErr: 55.00000000000001 %  swBErr: 57.03 %

Epochs: 88  train_loss: 5.84  val_loss: 6.62  ShiftErr: 29.99 %  swAErr: 54.63 %  swBErr: 56.38999999999999 %

Epochs: 89  train_loss: 5.25  val_loss: 6.53  ShiftErr: 30.270000000000003 %  swAErr: 54.44 %  swBErr: 56.48 %

Epochs: 90  train_loss: 5.38  val_loss: 6.42  ShiftErr: 29.78 %  swAErr: 55.08 %  swBErr: 56.830000000000005 %

Epochs: 91  train_loss: 5.15  val_loss: 6.5  ShiftErr: 30.159999999999997 %  swAErr: 55.00000000000001 %  swBErr: 55.589999999999996 %

Epochs: 92  train_loss: 4.41  val_loss: 6.55  ShiftErr: 30.659999999999997 %  swAErr: 55.26 %  swBErr: 56.07 %

Epochs: 93  train_loss: 6.39  val_loss: 6.42  ShiftErr: 29.849999999999998 %  swAErr: 55.169999999999995 %  swBErr: 56.35 %

Epochs: 94  train_loss: 5.74  val_loss: 6.52  ShiftErr: 30.37 %  swAErr: 56.45 %  swBErr: 57.879999999999995 %

Epochs: 95  train_loss: 5.03  val_loss: 6.63  ShiftErr: 31.169999999999998 %  swAErr: 55.910000000000004 %  swBErr: 57.589999999999996 %

Epochs: 96  train_loss: 4.57  val_loss: 6.57  ShiftErr: 30.259999999999998 %  swAErr: 56.57 %  swBErr: 57.379999999999995 %

Epochs: 97  train_loss: 4.92  val_loss: 6.61  ShiftErr: 30.42 %  swAErr: 56.269999999999996 %  swBErr: 56.95 %

Epochs: 98  train_loss: 5.06  val_loss: 6.61  ShiftErr: 30.25 %  swAErr: 56.21000000000001 %  swBErr: 56.84 %

Epochs: 99  train_loss: 5.23  val_loss: 6.49  ShiftErr: 29.42 %  swAErr: 55.28999999999999 %  swBErr: 57.95 %

Epochs: 100  train_loss: 6.07  val_loss: 6.59  ShiftErr: 30.620000000000005 %  swAErr: 55.779999999999994 %  swBErr: 57.21000000000001 %

Finish
