3D Run ID,Shift,swA,swB,tet
144,1.5,2.225,2.8,1.3613568
145,1.5,2.8,0.5,1.3613568
146,1.5,2.8,1.075,1.3613568
147,1.5,2.8,1.65,1.3613568
148,1.5,2.8,2.225,1.3613568
149,1.5,2.8,2.8,1.3613568
150,1.5,0.5,0.5,1.3962634
151,1.5,0.5,1.075,1.3962634
152,1.5,0.5,1.65,1.3962634
153,1.5,0.5,2.225,1.3962634
154,1.5,0.5,2.8,1.3962634
155,1.5,1.075,0.5,1.3962634
156,1.5,1.075,1.075,1.3962634
157,1.5,1.075,1.65,1.3962634
158,1.5,1.075,2.225,1.3962634
159,1.5,1.075,2.8,1.3962634
160,1.5,1.65,0.5,1.3962634
161,1.5,1.65,1.075,1.3962634
162,1.5,1.65,1.65,1.3962634
163,1.5,1.65,2.225,1.3962634
164,1.5,1.65,2.8,1.3962634
165,1.5,2.225,0.5,1.3962634
166,1.5,2.225,1.075,1.3962634
167,1.5,2.225,1.65,1.3962634
168,1.5,2.225,2.225,1.3962634
169,1.5,2.225,2.8,1.3962634
170,1.5,2.8,0.5,1.3962634
171,1.5,2.8,1.075,1.3962634
172,1.5,2.8,1.65,1.3962634
173,1.5,2.8,2.225,1.3962634
174,1.5,2.8,2.8,1.3962634
175,2,0.5,0.5,1.2217305
176,2,1.6,0.5,1.2217305
177,2,2.7,0.5,1.2217305
178,2,3.8,0.5,1.2217305
179,2,0.5,1.6,1.2217305
180,2,1.6,1.6,1.2217305
181,2,2.7,1.6,1.2217305
182,2,3.8,1.6,1.2217305
183,2,0.5,2.7,1.2217305
184,2,1.6,2.7,1.2217305
185,2,2.7,2.7,1.2217305
186,2,3.8,2.7,1.2217305
187,2,0.5,3.8,1.2217305
188,2,1.6,3.8,1.2217305
189,2,2.7,3.8,1.2217305
190,2,3.8,3.8,1.2217305
191,2,0.5,0.5,1.2566371
192,2,1.6,0.5,1.2566371
193,2,2.7,0.5,1.2566371
194,2,3.8,0.5,1.2566371
195,2,0.5,1.6,1.2566371
196,2,1.6,1.6,1.2566371
197,2,2.7,1.6,1.2566371
198,2,3.8,1.6,1.2566371
199,2,0.5,2.7,1.2566371
200,2,1.6,2.7,1.2566371
201,2,2.7,2.7,1.2566371
202,2,3.8,2.7,1.2566371
203,2,0.5,3.8,1.2566371
204,2,1.6,3.8,1.2566371
205,2,2.7,3.8,1.2566371
206,2,3.8,3.8,1.2566371
207,2,0.5,0.5,1.2915436
208,2,1.6,0.5,1.2915436
209,2,2.7,0.5,1.2915436
210,2,3.8,0.5,1.2915436
211,2,0.5,1.6,1.2915436
212,2,1.6,1.6,1.2915436
213,2,2.7,1.6,1.2915436
214,2,3.8,1.6,1.2915436
215,2,0.5,2.7,1.2915436
216,2,1.6,2.7,1.2915436
217,2,2.7,2.7,1.2915436
218,2,3.8,2.7,1.2915436
219,2,0.5,3.8,1.2915436
220,2,1.6,3.8,1.2915436
221,2,2.7,3.8,1.2915436
222,2,3.8,3.8,1.2915436
223,2,0.5,0.5,1.3264502
224,2,1.6,0.5,1.3264502
225,2,2.7,0.5,1.3264502
226,2,3.8,0.5,1.3264502
227,2,0.5,1.6,1.3264502
228,2,1.6,1.6,1.3264502
229,2,2.7,1.6,1.3264502
230,2,3.8,1.6,1.3264502
231,2,0.5,2.7,1.3264502
232,2,1.6,2.7,1.3264502
233,2,2.7,2.7,1.3264502
234,2,3.8,2.7,1.3264502
235,2,0.5,3.8,1.3264502
236,2,1.6,3.8,1.3264502
237,2,2.7,3.8,1.3264502
238,2,3.8,3.8,1.3264502
239,2,0.5,0.5,1.3613568
240,2,1.6,0.5,1.3613568
241,2,2.7,0.5,1.3613568
242,2,3.8,0.5,1.3613568
243,2,0.5,1.6,1.3613568
244,2,1.6,1.6,1.3613568
245,2,2.7,1.6,1.3613568
246,2,3.8,1.6,1.3613568
247,2,0.5,2.7,1.3613568
248,2,1.6,2.7,1.3613568
249,2,2.7,2.7,1.3613568
250,2,3.8,2.7,1.3613568
251,2,0.5,3.8,1.3613568
252,2,1.6,3.8,1.3613568
253,2,2.7,3.8,1.3613568
254,2,3.8,3.8,1.3613568
255,2,0.5,0.5,1.3962634
256,2,1.6,0.5,1.3962634
257,2,2.7,0.5,1.3962634
258,2,3.8,0.5,1.3962634
259,2,0.5,1.6,1.3962634
260,2,1.6,1.6,1.3962634
261,2,2.7,1.6,1.3962634
262,2,3.8,1.6,1.3962634
263,2,0.5,2.7,1.3962634
264,2,1.6,2.7,1.3962634
265,2,2.7,2.7,1.3962634
266,2,3.8,2.7,1.3962634
267,2,0.5,3.8,1.3962634
268,2,1.6,3.8,1.3962634
269,2,2.7,3.8,1.3962634
270,2,3.8,3.8,1.3962634
271,2.5,0.5,0.5,1.22173
272,2.5,0.5,1.11429,1.22173
273,2.5,0.5,1.72857,1.22173
274,2.5,0.5,2.34286,1.22173
275,2.5,0.5,2.95714,1.22173
276,2.5,0.5,3.57143,1.22173
277,2.5,0.5,4.18571,1.22173
278,2.5,0.5,4.8,1.22173
279,2.5,1.11429,0.5,1.22173
280,2.5,1.11429,1.11429,1.22173
281,2.5,1.11429,1.72857,1.22173
282,2.5,1.11429,2.34286,1.22173
283,2.5,1.11429,2.95714,1.22173
284,2.5,1.11429,3.57143,1.22173
285,2.5,1.11429,4.18571,1.22173
286,2.5,1.11429,4.8,1.22173
287,2.5,1.72857,0.5,1.22173
288,2.5,1.72857,1.11429,1.22173
289,2.5,1.72857,1.72857,1.22173
290,2.5,1.72857,2.34286,1.22173
291,2.5,1.72857,2.95714,1.22173
292,2.5,1.72857,3.57143,1.22173
293,2.5,1.72857,4.18571,1.22173
294,2.5,1.72857,4.8,1.22173
295,2.5,2.34286,0.5,1.22173
296,2.5,2.34286,1.11429,1.22173
297,2.5,2.34286,1.72857,1.22173
298,2.5,2.34286,2.34286,1.22173
299,2.5,2.34286,2.95714,1.22173
300,2.5,2.34286,3.57143,1.22173
301,2.5,2.34286,4.18571,1.22173
302,2.5,2.34286,4.8,1.22173
303,2.5,2.95714,0.5,1.22173
304,2.5,2.95714,1.11429,1.22173
305,2.5,2.95714,1.72857,1.22173
306,2.5,2.95714,2.34286,1.22173
307,2.5,2.95714,2.95714,1.22173
308,2.5,2.95714,3.57143,1.22173
309,2.5,2.95714,4.18571,1.22173
310,2.5,2.95714,4.8,1.22173
311,2.5,3.57143,0.5,1.22173
312,2.5,3.57143,1.11429,1.22173
313,2.5,3.57143,1.72857,1.22173
314,2.5,3.57143,2.34286,1.22173
315,2.5,3.57143,2.95714,1.22173
316,2.5,3.57143,3.57143,1.22173
317,2.5,3.57143,4.18571,1.22173
318,2.5,3.57143,4.8,1.22173
319,2.5,4.18571,0.5,1.22173
320,2.5,4.18571,1.11429,1.22173
321,2.5,4.18571,1.72857,1.22173
322,2.5,4.18571,2.34286,1.22173
323,2.5,4.18571,2.95714,1.22173
324,2.5,4.18571,3.57143,1.22173
325,2.5,4.18571,4.18571,1.22173
326,2.5,4.18571,4.8,1.22173
327,2.5,4.8,0.5,1.22173
328,2.5,4.8,1.11429,1.22173
329,2.5,4.8,1.72857,1.22173
330,2.5,4.8,2.34286,1.22173
331,2.5,4.8,2.95714,1.22173
332,2.5,4.8,3.57143,1.22173
333,2.5,4.8,4.18571,1.22173
334,2.5,4.8,4.8,1.22173
335,2.5,0.5,0.5,1.25664
336,2.5,0.5,1.11429,1.25664
337,2.5,0.5,1.72857,1.25664
338,2.5,0.5,2.34286,1.25664
339,2.5,0.5,2.95714,1.25664
340,2.5,0.5,3.57143,1.25664
341,2.5,0.5,4.18571,1.25664
342,2.5,0.5,4.8,1.25664
343,2.5,1.11429,0.5,1.25664
344,2.5,1.11429,1.11429,1.25664
345,2.5,1.11429,1.72857,1.25664
346,2.5,1.11429,2.34286,1.25664
347,2.5,1.11429,2.95714,1.25664
348,2.5,1.11429,3.57143,1.25664
349,2.5,1.11429,4.18571,1.25664
350,2.5,1.11429,4.8,1.25664
351,2.5,1.72857,0.5,1.25664
352,2.5,1.72857,1.11429,1.25664
353,2.5,1.72857,1.72857,1.25664
354,2.5,1.72857,2.34286,1.25664
355,2.5,1.72857,2.95714,1.25664
356,2.5,1.72857,3.57143,1.25664
357,2.5,1.72857,4.18571,1.25664
358,2.5,1.72857,4.8,1.25664
359,2.5,2.34286,0.5,1.25664
360,2.5,2.34286,1.11429,1.25664
361,2.5,2.34286,1.72857,1.25664
362,2.5,2.34286,2.34286,1.25664
363,2.5,2.34286,2.95714,1.25664
364,2.5,2.34286,3.57143,1.25664
365,2.5,2.34286,4.18571,1.25664
366,2.5,2.34286,4.8,1.25664
367,2.5,2.95714,0.5,1.25664
368,2.5,2.95714,1.11429,1.25664
369,2.5,2.95714,1.72857,1.25664
370,2.5,2.95714,2.34286,1.25664
371,2.5,2.95714,2.95714,1.25664
372,2.5,2.95714,3.57143,1.25664
373,2.5,2.95714,4.18571,1.25664
374,2.5,2.95714,4.8,1.25664
375,2.5,3.57143,0.5,1.25664
376,2.5,3.57143,1.11429,1.25664
377,2.5,3.57143,1.72857,1.25664
378,2.5,3.57143,2.34286,1.25664
379,2.5,3.57143,2.95714,1.25664
380,2.5,3.57143,3.57143,1.25664
381,2.5,3.57143,4.18571,1.25664
382,2.5,3.57143,4.8,1.25664
383,2.5,4.18571,0.5,1.25664
384,2.5,4.18571,1.11429,1.25664
385,2.5,4.18571,1.72857,1.25664
386,2.5,4.18571,2.34286,1.25664
387,2.5,4.18571,2.95714,1.25664
388,2.5,4.18571,3.57143,1.25664
389,2.5,4.18571,4.18571,1.25664
390,2.5,4.18571,4.8,1.25664
391,2.5,4.8,0.5,1.25664
392,2.5,4.8,1.11429,1.25664
393,2.5,4.8,1.72857,1.25664
394,2.5,4.8,2.34286,1.25664
395,2.5,4.8,2.95714,1.25664
396,2.5,4.8,3.57143,1.25664
397,2.5,4.8,4.18571,1.25664
398,2.5,4.8,4.8,1.25664
399,2.5,0.5,0.5,1.29154
400,2.5,0.5,1.11429,1.29154
401,2.5,0.5,1.72857,1.29154
402,2.5,0.5,2.34286,1.29154
403,2.5,0.5,2.95714,1.29154
404,2.5,0.5,3.57143,1.29154
405,2.5,0.5,4.18571,1.29154
406,2.5,0.5,4.8,1.29154
407,2.5,1.11429,0.5,1.29154
408,2.5,1.11429,1.11429,1.29154
409,2.5,1.11429,1.72857,1.29154
410,2.5,1.11429,2.34286,1.29154
411,2.5,1.11429,2.95714,1.29154
412,2.5,1.11429,3.57143,1.29154
413,2.5,1.11429,4.18571,1.29154
414,2.5,1.11429,4.8,1.29154
415,2.5,1.72857,0.5,1.29154
416,2.5,1.72857,1.11429,1.29154
417,2.5,1.72857,1.72857,1.29154
418,2.5,1.72857,2.34286,1.29154
419,2.5,1.72857,2.95714,1.29154
420,2.5,1.72857,3.57143,1.29154
421,2.5,1.72857,4.18571,1.29154
422,2.5,1.72857,4.8,1.29154
423,2.5,2.34286,0.5,1.29154
424,2.5,2.34286,1.11429,1.29154
425,2.5,2.34286,1.72857,1.29154
426,2.5,2.34286,2.34286,1.29154
427,2.5,2.34286,2.95714,1.29154
428,2.5,2.34286,3.57143,1.29154
429,2.5,2.34286,4.18571,1.29154
430,2.5,2.34286,4.8,1.29154
431,2.5,2.95714,0.5,1.29154
432,2.5,2.95714,1.11429,1.29154
433,2.5,2.95714,1.72857,1.29154
434,2.5,2.95714,2.34286,1.29154
435,2.5,2.95714,2.95714,1.29154
436,2.5,2.95714,3.57143,1.29154
437,2.5,2.95714,4.18571,1.29154
438,2.5,2.95714,4.8,1.29154
439,2.5,3.57143,0.5,1.29154
440,2.5,3.57143,1.11429,1.29154
441,2.5,3.57143,1.72857,1.29154
442,2.5,3.57143,2.34286,1.29154
443,2.5,3.57143,2.95714,1.29154
444,2.5,3.57143,3.57143,1.29154
445,2.5,3.57143,4.18571,1.29154
446,2.5,3.57143,4.8,1.29154
447,2.5,4.18571,0.5,1.29154
448,2.5,4.18571,1.11429,1.29154
449,2.5,4.18571,1.72857,1.29154
450,2.5,4.18571,2.34286,1.29154
451,2.5,4.18571,2.95714,1.29154
452,2.5,4.18571,3.57143,1.29154
453,2.5,4.18571,4.18571,1.29154
454,2.5,4.18571,4.8,1.29154
455,2.5,4.8,0.5,1.29154
456,2.5,4.8,1.11429,1.29154
457,2.5,4.8,1.72857,1.29154
458,2.5,4.8,2.34286,1.29154
459,2.5,4.8,2.95714,1.29154
460,2.5,4.8,3.57143,1.29154
461,2.5,4.8,4.18571,1.29154
462,2.5,4.8,4.8,1.29154
463,2.5,0.5,0.5,1.32645
464,2.5,0.5,1.11429,1.32645
465,2.5,0.5,1.72857,1.32645
466,2.5,0.5,2.34286,1.32645
467,2.5,0.5,2.95714,1.32645
468,2.5,0.5,3.57143,1.32645
469,2.5,0.5,4.18571,1.32645
470,2.5,0.5,4.8,1.32645
471,2.5,1.11429,0.5,1.32645
472,2.5,1.11429,1.11429,1.32645
473,2.5,1.11429,1.72857,1.32645
474,2.5,1.11429,2.34286,1.32645
475,2.5,1.11429,2.95714,1.32645
476,2.5,1.11429,3.57143,1.32645
477,2.5,1.11429,4.18571,1.32645
478,2.5,1.11429,4.8,1.32645
479,2.5,1.72857,0.5,1.32645
480,2.5,1.72857,1.11429,1.32645
481,2.5,1.72857,1.72857,1.32645
482,2.5,1.72857,2.34286,1.32645
483,2.5,1.72857,2.95714,1.32645
484,2.5,1.72857,3.57143,1.32645
485,2.5,1.72857,4.18571,1.32645
486,2.5,1.72857,4.8,1.32645
487,2.5,2.34286,0.5,1.32645
488,2.5,2.34286,1.11429,1.32645
489,2.5,2.34286,1.72857,1.32645
490,2.5,2.34286,2.34286,1.32645
491,2.5,2.34286,2.95714,1.32645
492,2.5,2.34286,3.57143,1.32645
493,2.5,2.34286,4.18571,1.32645
494,2.5,2.34286,4.8,1.32645
495,2.5,2.95714,0.5,1.32645
496,2.5,2.95714,1.11429,1.32645
497,2.5,2.95714,1.72857,1.32645
498,2.5,2.95714,2.34286,1.32645
499,2.5,2.95714,2.95714,1.32645
500,2.5,2.95714,3.57143,1.32645
501,2.5,2.95714,4.18571,1.32645
502,2.5,2.95714,4.8,1.32645
503,2.5,3.57143,0.5,1.32645
504,2.5,3.57143,1.11429,1.32645
